brand_part_number,Brand,brand_abbr,Stock,Price,expedite_eligibe,two_day_surcharge,overnight_surcharge
MRA05031,TRQ,TRQ,20,51.85,1,15.95,31.95
MRA08696,TRQ,TRQ,17,38.85,1,9.95,21.95
PSA66536,TRQ,TRQ,0,407.85,1,97.95,133.95
BHA07942,TRQ,TRQ,20,53.85,1,13.95,24.95
MGA04238,TRQ,TRQ,20,23.85,0,,
MGA04239,TRQ,TRQ,20,29.85,0,,
MGA04240,TRQ,TRQ,20,30.85,0,,
MGA04241,TRQ,TRQ,20,20.85,0,,
MGA04242,TRQ,TRQ,20,20.85,0,,
MGA04243,TRQ,TRQ,20,22.85,0,,
MGA04244,TRQ,TRQ,20,22.85,0,,
MGA04245,TRQ,TRQ,20,29.85,0,,
MGA04246,TRQ,TRQ,20,29.85,0,,
MGA04247,TRQ,TRQ,20,20.85,0,,
MGA04248,TRQ,TRQ,20,20.85,0,,
MGA04249,TRQ,TRQ,20,29.85,0,,
MGA04251,TRQ,TRQ,20,29.85,0,,
MGA07274,TRQ,TRQ,20,16.85,1,9.95,19.95
MGA09924,TRQ,TRQ,20,17.85,0,,
MGA09925,TRQ,TRQ,20,17.85,0,,
MGA09926,TRQ,TRQ,20,25.85,0,,
MGA09927,TRQ,TRQ,20,25.85,0,,
MGA09928,TRQ,TRQ,20,37.85,0,,
MGA09929,TRQ,TRQ,20,37.85,0,,
MGA09930,TRQ,TRQ,20,31.85,0,,
MGA09931,TRQ,TRQ,20,31.85,0,,
MGA09932,TRQ,TRQ,20,20.85,0,,
MGA09933,TRQ,TRQ,20,20.85,0,,
MGA09934,TRQ,TRQ,20,23.85,0,,
MGA09935,TRQ,TRQ,20,23.85,0,,
TKA01337,TRQ,TRQ,0,101.85,0,,
TKA01338,TRQ,TRQ,0,84.85,0,,
TKA01339,TRQ,TRQ,0,126.85,0,,
TKA01340,TRQ,TRQ,0,116.85,0,,
TKA01341,TRQ,TRQ,0,70.85,0,,
TKA01342,TRQ,TRQ,0,63.85,0,,
TKA01343,TRQ,TRQ,0,78.85,0,,
TKA01344,TRQ,TRQ,0,75.85,0,,
TKA01345,TRQ,TRQ,0,57.85,0,,
TKA01346,TRQ,TRQ,0,65.85,0,,
TKA01347,TRQ,TRQ,0,92.85,0,,
TKA01348,TRQ,TRQ,0,89.85,0,,
TKA01349,TRQ,TRQ,0,56.85,0,,
TKA01350,TRQ,TRQ,0,96.85,0,,
TKA01351,TRQ,TRQ,0,96.85,0,,
TKA01352,TRQ,TRQ,0,89.85,0,,
TKA01353,TRQ,TRQ,0,71.85,0,,
TKA01354,TRQ,TRQ,0,81.85,0,,
TKA01355,TRQ,TRQ,0,102.85,0,,
TKA01356,TRQ,TRQ,0,82.85,0,,
TKA01357,TRQ,TRQ,0,107.85,0,,
TKA01358,TRQ,TRQ,0,137.85,0,,
TKA01359,TRQ,TRQ,0,59.85,0,,
TKA01360,TRQ,TRQ,0,69.85,0,,
TKA01361,TRQ,TRQ,0,69.85,0,,
TKA01362,TRQ,TRQ,0,99.85,0,,
TKA01363,TRQ,TRQ,0,105.85,0,,
TKA01364,TRQ,TRQ,0,69.85,0,,
TKA01365,TRQ,TRQ,0,60.85,0,,
TKA01366,TRQ,TRQ,0,68.85,0,,
TKA01367,TRQ,TRQ,0,71.85,0,,
TKA01368,TRQ,TRQ,0,91.85,0,,
TKA01369,TRQ,TRQ,0,91.85,0,,
TKA01370,TRQ,TRQ,0,74.85,0,,
TKA01371,TRQ,TRQ,0,79.85,0,,
TKA01372,TRQ,TRQ,0,78.85,0,,
TKA01373,TRQ,TRQ,0,73.85,0,,
TKA01374,TRQ,TRQ,0,60.85,0,,
TKA01375,TRQ,TRQ,0,82.85,0,,
TKA01376,TRQ,TRQ,0,78.85,0,,
TKA01377,TRQ,TRQ,0,83.85,0,,
TKA01378,TRQ,TRQ,0,69.85,0,,
TKA01379,TRQ,TRQ,0,78.85,0,,
TKA01380,TRQ,TRQ,0,107.85,0,,
TKA01381,TRQ,TRQ,0,134.85,0,,
TKA01382,TRQ,TRQ,0,142.85,0,,
BDS00465,DIY Solutions,DIY,0,122.85,0,,
BKA12793,TRQ Performance,TRQ,20,235.85,1,106.95,140.95
PSA58578,TRQ,TRQ,20,471.85,1,42.95,66.95
BKA12348,TRQ Performance,TRQ,0,192.85,1,84.95,117.95
HVA03660,DIY Solutions,DIY,8,41.85,0,,
HVA03655,DIY Solutions,DIY,0,29.85,0,,
PSA66072,TRQ,TRQ,20,23.85,1,9.95,19.95
FTA07782,TRQ,TRQ,0,185.85,0,,
SCA61086,TRQ,TRQ,20,120.85,1,26.95,40.95
BKA12689,TRQ Performance,TRQ,20,76.85,1,33.95,50.95
GRI00385,DIY Solutions,DIY,10,30.85,1,25.95,37.95
HVA00538,DIY Solutions,DIY,8,67.85,1,16.95,33.95
ICA61729,TRQ,TRQ,13,31.85,1,9.95,19.95
SWA60074,TRQ,TRQ,20,38.85,0,,
LHT03731,DIY Solutions,DIY,0,606.85,1,49.95,66.95
ELA05495,TRQ,TRQ,19,36.85,0,,
SWA60409,TRQ,TRQ,20,31.85,0,,
ELA05497,TRQ,TRQ,19,35.85,0,,
BHA52983,TRQ,TRQ,20,59.85,1,12.95,22.95
BHA53188,TRQ,TRQ,20,51.85,1,12.95,26.95
BHA53205,TRQ,TRQ,20,90.85,1,19.95,33.95
HUB00372,DIY Solutions,DIY,4,59.85,1,13.95,24.95
ESA93095,TRQ,TRQ,20,22.85,0,,
GRI02125,DIY Solutions,DIY,3,47.85,0,,
GRI02126,DIY Solutions,DIY,0,42.85,0,,
GRI02131,DIY Solutions,DIY,0,71.85,0,,
SWA60075,TRQ,TRQ,20,52.85,0,,
HCA40025,TRQ,TRQ,20,24.85,0,,
GRI02137,DIY Solutions,DIY,6,20.85,0,,
GRI02138,DIY Solutions,DIY,0,20.85,0,,
GRI02144,DIY Solutions,DIY,0,31.85,0,,
GRI02134,DIY Solutions,DIY,15,20.85,0,,
HCA40026,TRQ,TRQ,15,33.85,0,,
GRI02135,DIY Solutions,DIY,13,20.85,0,,
GRI02143,DIY Solutions,DIY,13,31.85,0,,
GRI02141,DIY Solutions,DIY,0,71.85,0,,
GRI02142,DIY Solutions,DIY,1,71.85,0,,
GRI02146,DIY Solutions,DIY,0,123.85,0,,
HCA40027,TRQ,TRQ,20,25.85,0,,
GRI02156,DIY Solutions,DIY,5,22.85,0,,
GRI02157,DIY Solutions,DIY,10,22.85,0,,
GRI02174,DIY Solutions,DIY,5,33.85,0,,
LHT10386,DIY Solutions,DIY,2,84.85,0,,
BAS02391,DIY Solutions,DIY,20,48.85,0,,
RDA80001,TRQ,TRQ,0,74.85,0,,
RDA80409,TRQ,TRQ,3,87.85,0,,
RDA80410,TRQ,TRQ,0,109.85,0,,
VTA93170,TRQ,TRQ,20,28.85,0,,
BKA12327,TRQ Performance,TRQ,0,196.85,1,73.95,106.95
BSA70095,TRQ,TRQ,9,35.85,0,,
FGA17180,TRQ,TRQ,20,35.85,0,,
FPA60202,TRQ,TRQ,19,58.85,0,,
GRI02031,DIY Solutions,DIY,0,20.85,0,,
GRI02032,DIY Solutions,DIY,0,20.85,0,,
BAS02392,DIY Solutions,DIY,11,45.85,0,,
BAS02393,DIY Solutions,DIY,17,51.85,0,,
BAS02419,DIY Solutions,DIY,11,43.85,0,,
BFA73788,TRQ,TRQ,20,36.85,1,10.95,22.95
MRA04219,TRQ,TRQ,4,170.85,0,,
MRA04220,TRQ,TRQ,6,175.85,0,,
BKA17765,TRQ,TRQ,20,179.85,0,,
OSA60396,TRQ,TRQ,8,35.85,0,,
BKA14051,TRQ Performance,TRQ,0,289.85,1,103.95,124.95
BKA16229,TRQ,TRQ,20,250.85,0,,
BKA16617,TRQ Performance,TRQ,20,289.85,0,,
BKA16950,TRQ,TRQ,20,169.85,0,,
EMS00118,DIY Solutions,DIY,20,36.85,1,10.95,19.95
BKA11782,TRQ,TRQ,20,192.85,1,99.95,127.95
GRI02175,DIY Solutions,DIY,0,55.85,0,,
BKA12178,TRQ Performance,TRQ,20,131.85,1,55.95,69.95
BKA17504,TRQ Performance,TRQ,20,253.85,0,,
BKA15495,TRQ Performance,TRQ,20,110.85,0,,
BKA16727,TRQ Performance,TRQ,20,194.85,0,,
PSA72544,TRQ,TRQ,0,85.85,0,,
BKA15560,TRQ Performance,TRQ,20,327.85,0,,
BKA15689,TRQ Performance,TRQ,20,95.85,0,,
BKA17020,TRQ Performance,TRQ,20,123.85,0,,
BKA12267,TRQ Performance,TRQ,20,204.85,1,90.95,122.95
ICA71941,TRQ,TRQ,0,108.85,0,,
MGA09939,TRQ,TRQ,20,25.85,0,,
MGA09941,TRQ,TRQ,20,33.85,0,,
MGA09944,TRQ,TRQ,0,43.85,0,,
ACA14700,TRQ,TRQ,20,51.85,1,20.95,36.95
ACA14702,TRQ,TRQ,20,75.85,1,29.95,45.95
ACA14703,TRQ,TRQ,20,59.85,1,20.95,32.95
ACA14704,TRQ,TRQ,20,57.85,1,17.95,32.95
ACA14705,TRQ,TRQ,19,72.85,1,24.95,38.95
ACA14706,TRQ,TRQ,19,48.85,1,13.95,29.95
ACA14707,TRQ,TRQ,9,73.85,1,35.95,50.95
ACA80028,TRQ,TRQ,4,86.85,1,13.95,30.95
ACA80029,TRQ,TRQ,20,63.85,1,14.95,25.95
ACA80154,TRQ,TRQ,0,60.85,1,13.95,29.95
ACA80155,TRQ,TRQ,2,58.85,1,16.95,31.95
ACA80156,TRQ,TRQ,8,62.85,1,22.95,37.95
ACA80157,TRQ,TRQ,6,50.85,1,16.95,31.95
ACA80158,TRQ,TRQ,15,52.85,1,19.95,31.95
ACA80159,TRQ,TRQ,13,57.85,1,23.95,37.95
ACA80160,TRQ,TRQ,20,58.85,1,20.95,32.95
ACA80161,TRQ,TRQ,3,53.85,1,18.95,31.95
ACA80162,TRQ,TRQ,14,57.85,1,13.95,30.95
ACA80163,TRQ,TRQ,18,46.85,1,13.95,24.95
ACA80164,TRQ,TRQ,20,59.85,1,29.95,45.95
ACA80165,TRQ,TRQ,20,65.85,1,31.95,45.95
ACA80167,TRQ,TRQ,10,49.85,1,18.95,31.95
ACA80172,TRQ,TRQ,13,71.85,1,13.95,29.95
ACA80174,TRQ,TRQ,15,44.85,1,13.95,24.95
ACA80179,TRQ,TRQ,2,55.85,1,9.95,19.95
ACA80182,TRQ,TRQ,18,48.85,1,24.95,38.95
ACA80186,TRQ,TRQ,2,49.85,1,9.95,22.95
ACA80188,TRQ,TRQ,9,50.85,1,19.95,31.95
ACA80189,TRQ,TRQ,9,45.85,1,9.95,21.95
ACA80190,TRQ,TRQ,12,58.85,1,33.95,50.95
ACA80192,TRQ,TRQ,11,59.85,1,15.95,26.95
ACA80196,TRQ,TRQ,5,57.85,1,12.95,25.95
ACA80197,TRQ,TRQ,18,50.85,1,13.95,24.95
ACA80198,TRQ,TRQ,20,59.85,1,10.95,22.95
ACA80199,TRQ,TRQ,20,67.85,1,31.95,45.95
ACA80200,TRQ,TRQ,17,52.85,1,13.95,25.95
ACA80201,TRQ,TRQ,20,59.85,1,15.95,32.95
ACA80202,TRQ,TRQ,20,66.85,1,15.95,31.95
ACA80203,TRQ,TRQ,16,54.85,1,15.95,32.95
ACA80205,TRQ,TRQ,17,58.85,1,13.95,29.95
ACA80280,TRQ,TRQ,9,65.85,0,,
ACA80281,TRQ,TRQ,20,45.85,0,,
ACA80282,TRQ,TRQ,0,56.85,0,,
ACA80283,TRQ,TRQ,20,79.85,0,,
ACA80284,TRQ,TRQ,20,52.85,0,,
ACA80285,TRQ,TRQ,6,56.85,0,,
ACA80286,TRQ,TRQ,2,65.85,0,,
ACA80287,TRQ,TRQ,6,78.85,0,,
ACA80288,TRQ,TRQ,13,83.85,0,,
ACA80289,TRQ,TRQ,15,61.85,0,,
ACA80291,TRQ,TRQ,20,72.85,0,,
ACA80292,TRQ,TRQ,14,51.85,0,,
ACA80293,TRQ,TRQ,0,46.85,0,,
ACA80294,TRQ,TRQ,12,67.85,0,,
ACA80295,TRQ,TRQ,14,47.85,0,,
ACA80296,TRQ,TRQ,1,56.85,0,,
ACA80297,TRQ,TRQ,16,73.85,0,,
ACA80298,TRQ,TRQ,5,63.85,0,,
ACA80299,TRQ,TRQ,16,48.85,0,,
ACA80300,TRQ,TRQ,14,56.85,0,,
ACA80301,TRQ,TRQ,9,71.85,0,,
ACA80412,TRQ,TRQ,3,61.85,0,,
ACA80413,TRQ,TRQ,20,97.85,0,,
ACA80414,TRQ,TRQ,14,46.85,0,,
ACA80415,TRQ,TRQ,4,93.85,0,,
ACA80418,TRQ,TRQ,16,67.85,0,,
ACA80433,TRQ,TRQ,0,71.85,0,,
ACA80434,TRQ,TRQ,9,54.85,0,,
ACA80435,TRQ,TRQ,15,56.85,0,,
ACA80436,TRQ,TRQ,20,55.85,0,,
ACA80437,TRQ,TRQ,1,67.85,0,,
ACA80438,TRQ,TRQ,10,54.85,0,,
ACA80439,TRQ,TRQ,5,48.85,0,,
ACA80440,TRQ,TRQ,0,75.85,0,,
ACA80441,TRQ,TRQ,0,68.85,0,,
ACA80442,TRQ,TRQ,12,61.85,0,,
ACA80443,TRQ,TRQ,1,67.85,0,,
ACA80444,TRQ,TRQ,1,56.85,0,,
ACA80445,TRQ,TRQ,20,60.85,0,,
ACA80446,TRQ,TRQ,13,53.85,0,,
ACA80449,TRQ,TRQ,1,56.85,0,,
ACA80450,TRQ,TRQ,0,62.85,0,,
ACA80451,TRQ,TRQ,15,55.85,0,,
ACA80452,TRQ,TRQ,15,54.85,0,,
ACA80453,TRQ,TRQ,18,63.85,0,,
ACA80454,TRQ,TRQ,0,59.85,0,,
ACA80455,TRQ,TRQ,15,64.85,0,,
ACA80456,TRQ,TRQ,1,65.85,0,,
ACA80593,TRQ,TRQ,16,75.85,1,16.95,32.95
ACA80597,TRQ,TRQ,4,71.85,0,,
ACA80600,TRQ,TRQ,13,68.85,0,,
ACA80601,TRQ,TRQ,6,53.85,0,,
ACA80643,TRQ,TRQ,15,66.85,0,,
ACA80674,TRQ,TRQ,0,55.85,0,,
ACA80675,TRQ,TRQ,20,76.85,0,,
ACA80803,TRQ,TRQ,20,63.85,1,21.95,34.95
ACA80808,TRQ,TRQ,5,55.85,1,13.95,29.95
ACA80833,TRQ,TRQ,20,55.85,1,9.95,21.95
ACA80844,TRQ,TRQ,20,104.85,1,30.95,43.95
ACA80852,TRQ,TRQ,20,109.85,1,42.95,57.95
ACA80853,TRQ,TRQ,20,70.85,1,49.95,63.95
ACA80855,TRQ,TRQ,20,65.85,1,29.95,45.95
ACA80858,TRQ,TRQ,20,50.85,1,10.95,22.95
ACA80871,TRQ,TRQ,12,80.85,1,23.95,38.95
ACA81532,TRQ,TRQ,20,81.85,1,30.95,44.95
ACA81550,TRQ,TRQ,13,65.85,1,15.95,32.95
ACA84385,TRQ,TRQ,20,67.85,1,21.95,37.95
ACA84386,TRQ,TRQ,20,63.85,1,42.95,56.95
ACA84388,TRQ,TRQ,20,61.85,1,18.95,31.95
ACA84389,TRQ,TRQ,20,63.85,1,21.95,37.95
ACA84390,TRQ,TRQ,20,58.85,1,18.95,32.95
ACA84391,TRQ,TRQ,20,57.85,1,20.95,32.95
ACA84392,TRQ,TRQ,20,52.85,1,21.95,37.95
ACA84393,TRQ,TRQ,18,63.85,1,16.95,32.95
ACA84394,TRQ,TRQ,20,70.85,1,21.95,37.95
ACA84395,TRQ,TRQ,19,59.85,1,18.95,32.95
ACA84396,TRQ,TRQ,20,90.85,1,39.95,55.95
ACA84397,TRQ,TRQ,20,65.85,1,22.95,38.95
ACA84398,TRQ,TRQ,20,68.85,1,25.95,38.95
ACA84399,TRQ,TRQ,20,52.85,1,18.95,31.95
ACA84400,TRQ,TRQ,20,58.85,1,18.95,31.95
ACA84401,TRQ,TRQ,13,66.85,1,18.95,32.95
ACA84402,TRQ,TRQ,20,59.85,1,18.95,32.95
ACA84403,TRQ,TRQ,20,74.85,1,35.95,50.95
ACA84404,TRQ,TRQ,20,58.85,1,18.95,32.95
ACA84405,TRQ,TRQ,16,56.85,1,23.95,37.95
ACA84406,TRQ,TRQ,20,53.85,1,21.95,37.95
ACA84407,TRQ,TRQ,20,49.85,1,16.95,31.95
ACA84408,TRQ,TRQ,20,72.85,1,27.95,41.95
ACA84409,TRQ,TRQ,11,58.85,1,24.95,38.95
ACA84410,TRQ,TRQ,4,56.85,1,35.95,50.95
ACA84411,TRQ,TRQ,20,52.85,1,18.95,32.95
ACA84412,TRQ,TRQ,20,43.85,1,16.95,31.95
ACA84413,TRQ,TRQ,18,54.85,1,17.95,32.95
ACA84414,TRQ,TRQ,20,74.85,1,27.95,41.95
ACA84415,TRQ,TRQ,20,63.85,1,22.95,38.95
ACA84417,TRQ,TRQ,3,62.85,1,22.95,38.95
ACA84418,TRQ,TRQ,20,64.85,1,35.95,50.95
ACA84419,TRQ,TRQ,20,70.85,1,36.95,50.95
ACA84420,TRQ,TRQ,0,65.85,1,27.95,42.95
ACA84421,TRQ,TRQ,20,59.85,1,18.95,32.95
ACA84422,TRQ,TRQ,20,73.85,1,21.95,37.95
ACA84423,TRQ,TRQ,17,56.85,1,18.95,31.95
ACA84424,TRQ,TRQ,20,61.85,1,18.95,31.95
ACA84425,TRQ,TRQ,20,67.85,1,21.95,37.95
ACA84426,TRQ,TRQ,16,57.85,1,20.95,36.95
ACA84427,TRQ,TRQ,12,63.85,1,21.95,37.95
ACA84428,TRQ,TRQ,13,59.85,1,18.95,32.95
ACA84429,TRQ,TRQ,12,55.85,1,13.95,30.95
ACA84430,TRQ,TRQ,12,52.85,1,20.95,32.95
ACA84431,TRQ,TRQ,7,55.85,1,27.95,42.95
ACA84432,TRQ,TRQ,20,71.85,1,21.95,37.95
ACA84433,TRQ,TRQ,20,82.85,1,25.95,38.95
ACA84434,TRQ,TRQ,20,66.85,1,38.95,54.95
ACA84435,TRQ,TRQ,20,52.85,1,19.95,31.95
ACA84436,TRQ,TRQ,12,64.85,1,25.95,38.95
ACA84437,TRQ,TRQ,13,66.85,1,41.95,55.95
ACA84438,TRQ,TRQ,20,47.85,1,9.95,19.95
ACA84439,TRQ,TRQ,20,73.85,1,22.95,38.95
ACA84440,TRQ,TRQ,17,64.85,1,37.95,54.95
ACA84441,TRQ,TRQ,15,53.85,1,20.95,36.95
ACA84443,TRQ,TRQ,20,68.85,1,34.95,50.95
ACA84444,TRQ,TRQ,14,59.85,1,18.95,31.95
ACA84445,TRQ,TRQ,10,71.85,1,42.95,56.95
ACA84446,TRQ,TRQ,20,59.85,1,21.95,37.95
ACA84447,TRQ,TRQ,20,60.85,1,25.95,37.95
ACA84448,TRQ,TRQ,20,59.85,1,18.95,32.95
ACA84449,TRQ,TRQ,20,71.85,1,25.95,40.95
ACA84450,TRQ,TRQ,17,61.85,1,23.95,37.95
ACA84451,TRQ,TRQ,20,53.85,1,18.95,32.95
ACA84452,TRQ,TRQ,18,57.85,1,35.95,50.95
ACA84453,TRQ,TRQ,20,55.85,1,18.95,32.95
ACA84454,TRQ,TRQ,15,43.85,1,16.95,32.95
ACA84455,TRQ,TRQ,20,61.85,1,23.95,37.95
ACA84456,TRQ,TRQ,18,53.85,1,23.95,37.95
ACA84457,TRQ,TRQ,20,59.85,1,34.95,50.95
ACA84458,TRQ,TRQ,16,51.85,1,18.95,32.95
ACA84459,TRQ,TRQ,20,62.85,1,21.95,37.95
ACA84460,TRQ,TRQ,20,66.85,1,20.95,32.95
ACA84462,TRQ,TRQ,8,51.85,1,17.95,32.95
ACA84465,TRQ,TRQ,14,55.85,1,32.95,48.95
ACA84466,TRQ,TRQ,20,69.85,1,35.95,49.95
ACA84467,TRQ,TRQ,20,65.85,1,32.95,49.95
ACA84468,TRQ,TRQ,20,59.85,1,13.95,29.95
ACA84469,TRQ,TRQ,10,64.85,1,34.95,50.95
ACA84470,TRQ,TRQ,20,63.85,1,27.95,42.95
ACA84471,TRQ,TRQ,18,49.85,1,24.95,38.95
ACA84473,TRQ,TRQ,20,62.85,1,23.95,38.95
ACA84474,TRQ,TRQ,20,61.85,1,43.95,58.95
ACA84475,TRQ,TRQ,20,55.85,1,21.95,37.95
ACA84477,TRQ,TRQ,20,105.85,1,27.95,42.95
ACA84479,TRQ,TRQ,20,63.85,1,24.95,38.95
ACA84483,TRQ,TRQ,20,63.85,1,22.95,38.95
ACA84484,TRQ,TRQ,16,59.85,1,18.95,31.95
ACA84485,TRQ,TRQ,17,56.85,1,25.95,38.95
ACA84486,TRQ,TRQ,20,52.85,1,13.95,30.95
ACA84488,TRQ,TRQ,20,61.85,1,20.95,36.95
ACA84490,TRQ,TRQ,20,59.85,1,18.95,32.95
ACA84492,TRQ,TRQ,20,59.85,1,34.95,50.95
ACA84493,TRQ,TRQ,5,50.85,1,25.95,37.95
ACA84494,TRQ,TRQ,16,51.85,1,17.95,32.95
ACA84497,TRQ,TRQ,13,73.85,1,42.95,56.95
ACA84498,TRQ,TRQ,20,63.85,1,42.95,56.95
ACA84500,TRQ,TRQ,20,68.85,1,19.95,31.95
ACA84503,TRQ,TRQ,20,78.85,1,51.95,66.95
ACA84504,TRQ,TRQ,19,63.85,1,18.95,31.95
ACA84506,TRQ,TRQ,20,55.85,1,18.95,32.95
ACA84507,TRQ,TRQ,20,59.85,1,23.95,37.95
ACA84508,TRQ,TRQ,20,55.85,1,18.95,32.95
ACA84509,TRQ,TRQ,20,75.85,1,38.95,55.95
ACA84510,TRQ,TRQ,8,49.85,1,16.95,31.95
ACA84511,TRQ,TRQ,17,55.85,1,18.95,32.95
ACA84512,TRQ,TRQ,12,60.85,1,29.95,45.95
ACA84513,TRQ,TRQ,20,71.85,1,24.95,38.95
ACA84514,TRQ,TRQ,13,63.85,1,21.95,37.95
ACA84515,TRQ,TRQ,20,54.85,1,21.95,37.95
ACA84516,TRQ,TRQ,20,47.85,1,13.95,29.95
ACA84517,TRQ,TRQ,18,59.85,1,21.95,37.95
ACA84518,TRQ,TRQ,20,67.85,1,16.95,32.95
ACA84519,TRQ,TRQ,16,65.85,1,34.95,50.95
ACA84520,TRQ,TRQ,20,63.85,1,20.95,36.95
ACA84521,TRQ,TRQ,1,56.85,1,29.95,45.95
ACA84523,TRQ,TRQ,20,54.85,1,17.95,32.95
ACA84524,TRQ,TRQ,20,71.85,1,18.95,32.95
ACA84525,TRQ,TRQ,19,50.85,1,17.95,32.95
ACA84526,TRQ,TRQ,20,74.85,1,35.95,50.95
ACA84528,TRQ,TRQ,10,73.85,1,37.95,54.95
ACA84529,TRQ,TRQ,17,67.85,1,23.95,38.95
